Movie_ID,Title,Genres,Release_Year,Director,Cast,Keywords,Language,Runtime,Production_Company,Budget,Revenue,Popularity,Vote_Count,Average_Rating,Rating_Count,Rating_Std,Minimum_Rating,Maximum_Rating,Movie_Age,ROI,Rating_Confidence,Popularity_Category,Revenue_Category,Content_Features
MOV100006,The Station We Left Behind,"Thriller, Comedy, Sci-Fi",2020.0,Damien Chazelle,"Dhanush, Sai Pallavi, Prakash Raj","artificial intelligence, surveillance, misunderstanding, space mission, blackmail, road trip",Korean,133.0,Dharma Productions,1400000.0,4100000.0,4.16129698868409,6517.0,3.554038680318544,2637.0,1.0759386430470372,1.0,5.0,6.0,1.9285714285714286,7.87777633327726,Medium,Low,thriller  comedy  sci-fi damien chazelle dhanush  sai pallavi  prakash raj artificial intelligence  surveillance  misunderstanding  space mission  blackmail  road trip korean dharma productions
MOV119635,The Northern Harbor 747,Drama,1973.0,Ayan Mukerji,Unknown,"redemption, grief",English,142.0,Lionsgate,9700000.0,19700000.0,5.565920362650571,4119.0,3.6004862236628847,1234.0,1.0799506267685328,1.0,5.0,53.0,1.0309278350515463,7.118826249062078,High,Medium,drama ayan mukerji unknown redemption  grief english lionsgate
MOV105990,The Hidden Garden,Drama,2000.0,Nagraj Manjule,"Ayushmann Khurrana, Bhumi Pednekar, Pankaj Tripathi","identity, redemption",Hindi,113.0,Universal Pictures,46350000.0,51700000.0,19.027366298377306,1075.0,3.574185765983112,829.0,1.0849695421892298,1.0,5.0,26.0,0.11542610571736785,6.721425700790643,Very High,High,drama nagraj manjule ayushmann khurrana  bhumi pednekar  pankaj tripathi identity  redemption hindi universal pictures
MOV119272,The Parallel Letter 348,"Sci-Fi, Comedy, Horror",2024.0,Bong Joon Ho,"Adam Driver, Scarlett Johansson, Oscar Isaac","ritual, artificial intelligence, space mission, awkward romance",Hindi,110.0,Suresh Productions,93600000.0,308000000.0,6.337393666890239,1730.0,3.491228070175439,570.0,1.099972950898359,1.0,5.0,2.0,2.2905982905982905,6.3473892096560105,High,Very High,sci-fi  comedy  horror bong joon ho adam driver  scarlett johansson  oscar isaac ritual  artificial intelligence  space mission  awkward romance hindi suresh productions
MOV101108,A Room in Midnight,Drama,2016.0,Park Chan-wook,"Michael B. Jordan, Tessa Thompson, Lakeith Stanfield","family secrets, grief",English,158.0,Netflix,40050000.0,302300000.0,1.883147628296571,818.0,3.517777777777778,450.0,1.142768273491736,1.0,5.0,10.0,6.548064918851436,6.111467339502679,Low,Very High,drama park chan-wook michael b. jordan  tessa thompson  lakeith stanfield family secrets  grief english netflix
MOV113048,The Last Horizon 378,"Thriller, Action",2015.0,Vetrimaaran,"Dev Patel, Freida Pinto, Roshan Seth, Tony Leung","rescue, revenge, missing person, false identity",Hindi,110.0,Phantom Films,4400000.0,34400000.0,3.5979671209849267,1493.0,3.544529262086514,393.0,1.0467036911782817,1.0,5.0,11.0,6.818181818181818,5.976350909297934,Medium,Medium,thriller  action vetrimaaran dev patel  freida pinto  roshan seth  tony leung rescue  revenge  missing person  false identity hindi phantom films
MOV114626,The Golden Shadow 774,Drama,1982.0,Bong Joon Ho,"Ryan Gosling, Margot Robbie, Brian Tyree Henry","family secrets, identity",English,132.0,Sony Pictures,15550000.0,22600000.0,12.729144766537742,5928.0,3.5,370.0,1.1146961135099807,1.0,5.0,44.0,0.4533762057877814,5.916202062607435,Very High,Medium,drama bong joon ho ryan gosling  margot robbie  brian tyree henry family secrets  identity english sony pictures
MOV109221,The Restless City 834,"Action, Thriller",2012.0,Denis Villeneuve,"Rinko Kikuchi, Masami Nagasawa, Hidetoshi Nishijima","heist, espionage, missing person, surveillance",English,156.0,Gaumont,17250000.0,23800000.0,5.91932905427869,174.0,3.920863309352518,278.0,1.1050572829390943,1.0,5.0,14.0,0.37971014492753624,5.631211781821365,High,Medium,action  thriller denis villeneuve rinko kikuchi  masami nagasawa  hidetoshi nishijima heist  espionage  missing person  surveillance english gaumont
MOV118556,The Secret Room 117,Romance,1993.0,Makoto Shinkai,"Adam Driver, Scarlett Johansson, Oscar Isaac","long distance, unexpected meeting",English,119.0,Studio Ghibli,16100000.0,15300000.0,5.328954712338044,276.0,3.5778688524590163,244.0,1.0609423790671837,1.0,5.0,33.0,-0.049689440993788817,5.501258210544727,High,Medium,romance makoto shinkai adam driver  scarlett johansson  oscar isaac long distance  unexpected meeting english studio ghibli
MOV110026,The Silver Harbor 756,Horror,1972.0,S. S. Rajamouli,"Chris Evans, Ana de Armas, Oscar Isaac","possession, isolated village",Bengali,196.0,Netflix,9550000.0,21200000.0,0.5059067673509947,1097.0,3.5948275862068964,232.0,1.06073933438558,1.0,5.0,54.0,1.219895287958115,5.4510384535657,Low,Medium,horror s. s. rajamouli chris evans  ana de armas  oscar isaac possession  isolated village bengali netflix
