Movie_ID,Title,Genres,Release_Year,Director,Cast,Keywords,Language,Runtime,Production_Company
MOV100006,The Station We Left Behind,"Thriller, Comedy, Sci-Fi",2020.0,Damien Chazelle,"Dhanush, Sai Pallavi, Prakash Raj","artificial intelligence, surveillance, misunderstanding, space mission, blackmail, road trip",Korean,133.0,Dharma Productions
MOV119635,The Northern Harbor 747,Drama,1973.0,Ayan Mukerji,Unknown,"redemption, grief",English,142.0,Lionsgate
MOV105990,The Hidden Garden,Drama,2000.0,Nagraj Manjule,"Ayushmann Khurrana, Bhumi Pednekar, Pankaj Tripathi","identity, redemption",Hindi,113.0,Universal Pictures
MOV119272,The Parallel Letter 348,"Sci-Fi, Comedy, Horror",2024.0,Bong Joon Ho,"Adam Driver, Scarlett Johansson, Oscar Isaac","ritual, artificial intelligence, space mission, awkward romance",Hindi,110.0,Suresh Productions
MOV101108,A Room in Midnight,Drama,2016.0,Park Chan-wook,"Michael B. Jordan, Tessa Thompson, Lakeith Stanfield","family secrets, grief",English,158.0,Netflix
MOV113048,The Last Horizon 378,"Thriller, Action",2015.0,Vetrimaaran,"Dev Patel, Freida Pinto, Roshan Seth, Tony Leung","rescue, revenge, missing person, false identity",Hindi,110.0,Phantom Films
MOV114626,The Golden Shadow 774,Drama,1982.0,Bong Joon Ho,"Ryan Gosling, Margot Robbie, Brian Tyree Henry","family secrets, identity",English,132.0,Sony Pictures
MOV109221,The Restless City 834,"Action, Thriller",2012.0,Denis Villeneuve,"Rinko Kikuchi, Masami Nagasawa, Hidetoshi Nishijima","heist, espionage, missing person, surveillance",English,156.0,Gaumont
MOV118556,The Secret Room 117,Romance,1993.0,Makoto Shinkai,"Adam Driver, Scarlett Johansson, Oscar Isaac","long distance, unexpected meeting",English,119.0,Studio Ghibli
MOV110026,The Silver Harbor 756,Horror,1972.0,S. S. Rajamouli,"Chris Evans, Ana de Armas, Oscar Isaac","possession, isolated village",Bengali,196.0,Netflix
MOV114993,The Golden Shadow 583,Drama,2010.0,Karthik Subbaraj,"Prithviraj Sukumaran, Parvathy Thiruvothu, Tovino Thomas","class divide, identity",Unknown,109.0,Sun Pictures
MOV100557,Northern Lantern,"Thriller, Comedy, Mystery",,Taika Waititi,"Adam Driver, Scarlett Johansson, Oscar Isaac","wedding, blackmail, secret room, awkward romance, vanished witness, conspiracy",English,152.0,Paramount Pictures
MOV119204,The Northern Road 136,Sci-Fi,2000.0,Lokesh Kanagaraj,"Prithviraj Sukumaran, Parvathy Thiruvothu, Tovino Thomas","artificial intelligence, parallel universe",Hindi,153.0,Amazon MGM Studios
MOV110790,The Borrowed Letter 66,"Thriller, Crime",2009.0,Hayao Miyazaki,Unknown,"organized crime, gang rivalry, blackmail, false identity",Spanish,113.0,Amazon MGM Studios
MOV103605,The Winter House,Comedy,1991.0,Bong Joon Ho,"Daniel Kaluuya, Lupita Nyong'o, John David Washington, Michael B. Jordan","road trip, workplace",Bengali,129.0,Geetha Arts
MOV105896,Restless Beyond the Echo,Drama,1994.0,Steven Spielberg,"Nana Patekar, Tabu, Konkona Sen Sharma","identity, redemption",Tamil,120.0,Universal Pictures
MOV112232,The Lost Lantern 67,Drama,2018.0,Steven Spielberg,"Zendaya, TimothÃ©e Chalamet, Florence Pugh","ambition, class divide",English,94.0,Sony Pictures
MOV101202,Paper at Archive,"Romance, Horror, Action",1986.0,Park Chan-wook,"Dev Patel, Freida Pinto, Roshan Seth","curse, heartbreak, revenge, second chance, ritual",English,96.0,Amazon MGM Studios
MOV105644,Between Blue and Signal,Action,2023.0,Damien Chazelle,"Ranbir Kapoor, Alia Bhatt, Vicky Kaushal","rescue, revenge",Marathi,,Sony Pictures
MOV110828,The Silent River 429,"Crime, Adventure",1996.0,S. S. Rajamouli,"Nana Patekar, Tabu, Konkona Sen Sharma","money laundering, survival, treasure hunt, gang rivalry",Bengali,103.0,Sony Pictures
MOV104768,A Harbor in Distant,Drama,1985.0,Bong Joon Ho,"Rajinikanth, Fahadh Faasil, Ritika Singh","coming of age, family secrets",Hindi,119.0,Geetha Arts
MOV117948,The Winter Station 367,Mystery,2015.0,Christopher Nolan,"Triptii Dimri, Rajkummar Rao, Vijay Varma","unsolved murder, vanished witness",English,113.0,Hombale Films
MOV114784,The Fading Bridge 555,"Thriller, Drama",2019.0,Alfonso CuarÃ³n,"Rajkummar Rao, Taapsee Pannu, Pankaj Tripathi, Chris Evans","family secrets, grief, false identity, blackmail",Hindi,115.0,Universal Pictures
MOV114896,The Blue Bridge 381,"Romance, Comedy",2008.0,Nagraj Manjule,"Sanya Malhotra, Vikrant Massey, Vijay Raaz","long distance, heartbreak, friendship, family",Spanish,101.0,Toho
