User_ID,Movie_ID,Rating,Rating_Date
U000003,MOV108414,3,07-17-25
U000001,MOV101108,4,05-15-17
U000004,MOV119635,5,02-27-22
U000463,MOV118537,4,08-28-18
U000043,MOV110026,5,10-07-24
U000003,MOV108836,4,07-10-25
U000001,MOV113835,5,05-13-18
U000002,MOV100006,5,02-04-25
U000015,MOV104256,4,09-30-21
U000160,MOV109221,2,09-18-25
U000028,MOV102047,4,03-26-16
U000093,MOV116682,3,03-13-24
U000007,MOV105990,4,08-10-23
U000046,MOV118089,3,07-05-25
U000010,MOV111427,5,05-13-16
U000001,MOV118792,4,07-08-15
U000014,MOV112427,5,03-05-21
U000001,MOV111434,4,01-09-23
U000001,MOV107386,3,04-23-25
U000002,MOV111392,3,10-19-22
U002523,MOV107687,3,08-25-18
U000002,MOV119272,4,05-25-25
U000021,MOV119297,5,10-01-21
U000029,MOV100006,3,06-14-21
U000001,MOV100006,4,11-04-24
U000001,MOV108032,5,10-16-23
U000084,MOV119475,5,08-28-24
U001052,MOV119272,4,05-23-23
U000005,MOV114993,3,10-07-25
U000005,MOV109221,5,04-11-25
U000006,MOV100006,2,03-19-22
U000001,MOV100006,4,03-15-16
U000088,MOV113015,4,02-10-19
U000036,MOV109536,3,08-09-21
U000013,MOV113391,3,07-05-19
U000001,MOV118401,3,01-20-20
,MOV103605,3,10-01-17
U000001,MOV111392,1,09-23-25
U000005,MOV100006,4,10-26-24
U000003,MOV110575,4,11-14-19
U000006,MOV119635,1,04-12-25
U003441,MOV119635,5,05-22-21
U000010,MOV118828,5,02-18-23
U000008,MOV113048,4,07-03-21
U000001,MOV119635,2,07-16-19
U000131,MOV119635,3,08-05-25
U000005,MOV114896,4,10-04-22
U000064,MOV109602,5,10-01-23
U000302,MOV117066,4,01-07-22
U000005,MOV101756,3,04-26-23
U000474,MOV113268,4,06-27-17
U001572,MOV109166,4,04-15-18
U000003,MOV110959,4,03-10-22
U000203,MOV119635,4,05-17-25
U000109,MOV115605,5,09-10-24
U000027,MOV112232,2,07-11-23
U000008,MOV113048,4,05-05-25
U000006,MOV103334,4,03-13-20
U000004,MOV115359,5,07-23-19
U000003,MOV115671,4,05-08-25
U000005,MOV105990,3,03-04-16
U000005,MOV105990,5,07-17-25
U000337,MOV114626,3,07-11-18
U001213,MOV110790,4,10-09-24
U000723,MOV119635,3,01-26-24
U000002,MOV119635,3,09-20-24
U000363,MOV100006,4,10-26-22
U000001,MOV108832,4,03-30-19
U000028,MOV100542,3,02-14-17
U000001,MOV113048,4,03-26-24
U000811,MOV109240,2,07-30-20
U000085,MOV106289,5,04-01-24
U000036,MOV118120,3,02-23-21
U000094,MOV114626,5,08-16-23
U000186,MOV118556,4,08-30-25
U000001,MOV110026,2,05-03-20
