User_ID,Movie_ID,Rating,Rating_Date
U000003,MOV108414,3.0,2025-07-17
U000463,MOV118537,4.0,2018-08-28
U000015,MOV104256,4.0,2021-09-30
U000160,MOV109221,2.0,2025-09-18
U000028,MOV102047,4.0,2016-03-26
U000093,MOV116682,3.0,2024-03-13
U000046,MOV118089,3.0,2025-07-05
U000010,MOV111427,5.0,2016-05-13
U000001,MOV118792,4.0,2015-07-08
U000014,MOV112427,5.0,2021-03-05
U000002,MOV111392,3.0,2022-10-19
U002523,MOV107687,3.0,2018-08-25
U000021,MOV119297,5.0,2021-10-01
U000001,MOV108032,5.0,2023-10-16
U000084,MOV119475,5.0,2024-08-28
U001052,MOV119272,4.0,2023-05-23
U000088,MOV113015,4.0,2019-02-10
U000036,MOV109536,3.0,2021-08-09
U000013,MOV113391,3.0,2019-07-05
U000003,MOV110575,4.0,2019-11-14
U003441,MOV119635,5.0,2021-05-22
U000010,MOV118828,5.0,2023-02-18
U000131,MOV119635,3.0,2025-08-05
U000064,MOV109602,5.0,2023-10-01
U000302,MOV117066,4.0,2022-01-07
U000474,MOV113268,4.0,2017-06-27
U001572,MOV109166,4.0,2018-04-15
U000003,MOV110959,4.0,2022-03-10
U000203,MOV119635,4.0,2025-05-17
U000109,MOV115605,5.0,2024-09-10
U000027,MOV112232,2.0,2023-07-11
U000006,MOV103334,4.0,2020-03-13
U000004,MOV115359,5.0,2019-07-23
U000003,MOV115671,4.0,2025-05-08
U000337,MOV114626,3.0,2018-07-11
U001213,MOV110790,4.0,2024-10-09
U000723,MOV119635,3.0,2024-01-26
U000028,MOV100542,3.0,2017-02-14
U000811,MOV109240,2.0,2020-07-30
U000085,MOV106289,5.0,2024-04-01
U000036,MOV118120,3.0,2021-02-23
U000094,MOV114626,5.0,2023-08-16
U000186,MOV118556,4.0,2025-08-30
U000002,MOV112085,4.0,2023-09-29
U000056,MOV109221,4.0,2016-08-26
U000001,MOV103174,3.0,2024-09-10
U000032,MOV107070,3.0,2019-09-03
U000113,MOV111034,5.0,2023-01-18
U000042,MOV116536,5.0,2025-06-08
U000146,MOV109874,3.0,2019-09-06
U000003,MOV107637,5.0,2023-04-02
U000001,MOV100770,3.0,2025-01-09
U000011,MOV113902,5.0,2016-12-06
U000001,MOV115724,3.0,2025-07-13
U000140,MOV104391,4.0,2024-02-16
U000037,MOV119204,5.0,2025-06-18
U000073,MOV119635,4.0,2025-11-23
U000682,MOV100006,4.0,2017-11-16
U000052,MOV111983,4.0,2025-10-24
